id,rf,lr
1,Failure,Success
2,Success,Success
3,Failure,Failure
4,Success,Success
5,Success,Success
6,Success,Success
7,Success,Success
8,Success,Success
9,Success,Success
10,Failure,Failure
11,Failure,Failure
12,Failure,Failure
13,Failure,Failure
14,Success,Success
15,Success,Success
16,Failure,Failure
17,Success,Success
18,Success,Success
19,Failure,Failure
20,Failure,Failure
21,Failure,Failure
22,Success,Success
23,Failure,Failure
24,Failure,Failure
25,Failure,Failure
26,Success,Failure
27,Failure,Failure
28,Failure,Failure
29,Failure,Failure
30,Failure,Failure
31,Failure,Failure
32,Failure,Failure
33,Failure,Failure
34,Failure,Failure
35,Failure,Failure
36,Failure,Failure
37,Success,Failure
38,Failure,Failure
39,Failure,Failure
40,Failure,Failure
41,Failure,Failure
42,Failure,Failure
43,Failure,Failure
44,Failure,Failure
45,Failure,Failure
46,Failure,Failure
47,Failure,Failure
48,Failure,Failure
49,Failure,Failure
50,Failure,Failure
51,Failure,Failure
52,Failure,Failure
53,Failure,Failure
54,Failure,Failure
55,Failure,Failure
56,Failure,Failure
57,Failure,Failure
58,Failure,Failure
59,Failure,Failure
60,Failure,Failure
61,Failure,Failure
62,Failure,Failure
63,Failure,Failure
64,Failure,Failure
65,Failure,Failure
66,Failure,Failure
67,Failure,Failure
68,Failure,Failure
69,Failure,Failure
70,Failure,Failure
71,Success,Success
72,Failure,Failure
73,Failure,Failure
74,Failure,Failure
75,Failure,Failure
76,Failure,Failure
77,Failure,Failure
78,Failure,Failure
79,Failure,Failure
80,Failure,Failure
81,Failure,Failure
82,Failure,Failure
83,Failure,Failure
84,Failure,Failure
85,Failure,Failure
86,Failure,Failure
87,Failure,Failure
88,Failure,Failure
89,Failure,Failure
90,Failure,Failure
91,Failure,Failure
92,Failure,Failure
93,Failure,Failure
94,Failure,Failure
95,Failure,Failure
96,Failure,Failure
97,Failure,Failure
98,Failure,Failure
99,Failure,Failure
100,Failure,Failure
101,Failure,Failure
102,Failure,Failure
103,Failure,Failure
104,Failure,Failure
105,Failure,Failure
106,Failure,Failure
107,Failure,Failure
108,Success,Success
109,Failure,Failure
110,Success,Success
111,Success,Success
112,Success,Failure
113,Success,Success
114,Failure,Failure
115,Success,Success
116,Success,Failure
117,Failure,Failure
118,Success,Success
119,Success,Success
120,Success,Success
121,Success,Success
122,Success,Failure
123,Success,Success
124,Success,Success
125,Success,Success
126,Success,Success
127,Success,Success
128,Success,Success
129,Success,Success
130,Success,Success
131,Success,Success
132,Success,Success
133,Success,Success
134,Success,Success
135,Success,Success
136,Success,Success
137,Success,Success
138,Success,Success
